127.0.0.1, 2019-04-09 14:40:20, GET, /, HTTP/1.1, 303, 0.940215
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.569944
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.009942
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010243
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.010243
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.005534
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/default/index, HTTP/1.1, 200, 0.199894
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.004999
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.012610
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004998
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.016992
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003006
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004997
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003993
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002997
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.034601
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.014011
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.001982
127.0.0.1, 2019-04-09 14:40:45, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.015994
127.0.0.1, 2019-04-09 14:40:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-09 14:40:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.023572
127.0.0.1, 2019-04-09 14:40:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/, HTTP/1.1, 200, 0.179819
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-09 14:41:14, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000000
